Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,mnist,2,0,0.9,15.84596037864685,1.6428083181381226,0.3,0.1,128,adam,-1,10000
zoo,mnist,2,0,0.9,24.22971067428589,1.6320278644561768,0.3,0.1,256,adam,-1,10000
zoo,mnist,2,0,1.0,9.523610997200013,1.985295295715332,0.5,0.1,1,adam,-1,10000
zoo,mnist,2,0,1.0,2.6712780952453614,1.895014762878418,0.5,0.1,8,adam,-1,10000
zoo,mnist,2,0,1.0,0.9255877494812011,1.8478479385375977,0.5,0.1,32,adam,-1,10000
zoo,mnist,2,0,1.0,0.6663519620895386,1.9007536172866821,0.5,0.1,64,adam,-1,10000
zoo,mnist,2,0,1.0,0.5608838796615601,1.9210383892059326,0.5,0.1,128,adam,-1,10000
zoo,mnist,2,0,1.0,0.735978078842163,1.872193694114685,0.5,0.1,256,adam,-1,10000
zoo,mnist,2,0,1.0,7.924671745300293,2.100241184234619,0.7,0.1,1,adam,-1,10000
zoo,mnist,2,0,1.0,3.1307477235794066,1.9613767862319946,0.7,0.1,8,adam,-1,10000
zoo,mnist,2,0,1.0,1.130187749862671,1.9403936862945557,0.7,0.1,32,adam,-1,10000
zoo,mnist,2,0,1.0,0.7194613218307495,1.9287999868392944,0.7,0.1,64,adam,-1,10000
zoo,mnist,2,0,1.0,0.6521810054779053,1.9270089864730835,0.7,0.1,128,adam,-1,10000
zoo,mnist,2,0,1.0,0.7602663278579712,1.893853783607483,0.7,0.1,256,adam,-1,10000
zoo,mnist,2,0,1.0,8.062799549102783,2.151291608810425,0.9,0.1,1,adam,-1,10000
zoo,mnist,2,0,1.0,3.2056988716125487,2.0839314460754395,0.9,0.1,8,adam,-1,10000
zoo,mnist,2,0,1.0,1.4425115585327148,1.9362624883651733,0.9,0.1,32,adam,-1,10000
zoo,mnist,2,0,1.0,0.8407604694366455,1.9185431003570557,0.9,0.1,64,adam,-1,10000
zoo,mnist,2,0,1.0,0.6960728883743286,1.9588302373886108,0.9,0.1,128,adam,-1,10000
zoo,mnist,2,0,1.0,0.8073667287826538,1.9779268503189087,0.9,0.1,256,adam,-1,10000
