Optim,Data,Norm,Target,SuccesRate,MeanTime,MeanEpsilon,c,LearningRate,NGradients,Solver,BatchSize,Epochs
zoo,cifar10,2,0,1.0,9.490129852294922,1.009833812713623,0.3,0.1,64,adam,-1,10000
zoo,cifar10,2,0,1.0,13.394825410842895,1.2885617017745972,0.3,0.1,128,adam,-1,10000
zoo,cifar10,2,0,1.0,8.559106230735779,1.5801023244857788,0.3,0.1,256,adam,-1,10000
zoo,cifar10,2,0,1.0,2.5193957567214964,1.0908600091934204,0.5,0.1,1,adam,-1,10000
zoo,cifar10,2,0,1.0,7.155142664909363,1.1141101121902466,0.5,0.1,8,adam,-1,10000
zoo,cifar10,2,0,1.0,8.453790926933289,1.0971589088439941,0.5,0.1,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.3166791915893554,1.3935399055480957,0.5,0.1,64,adam,-1,10000
zoo,cifar10,2,0,1.0,7.713583469390869,1.5181523561477661,0.5,0.1,128,adam,-1,10000
zoo,cifar10,2,0,1.0,8.383493256568908,1.6381340026855469,0.5,0.1,256,adam,-1,10000
zoo,cifar10,2,0,1.0,2.590100359916687,1.0839852094650269,0.7,0.1,1,adam,-1,10000
zoo,cifar10,2,0,1.0,7.678754472732544,1.1646528244018555,0.7,0.1,8,adam,-1,10000
zoo,cifar10,2,0,1.0,1.0735664367675781,1.2170357704162598,0.7,0.1,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.47501802444458,1.248658537864685,0.7,0.1,64,adam,-1,10000
zoo,cifar10,2,0,1.0,7.156449294090271,1.2873238325119019,0.7,0.1,128,adam,-1,10000
zoo,cifar10,2,0,1.0,8.58481161594391,1.7254834175109863,0.7,0.1,256,adam,-1,10000
zoo,cifar10,2,0,1.0,2.716266703605652,1.1154574155807495,0.9,0.1,1,adam,-1,10000
zoo,cifar10,2,0,1.0,6.084584021568299,1.083937644958496,0.9,0.1,8,adam,-1,10000
zoo,cifar10,2,0,1.0,1.1262695789337158,1.2764794826507568,0.9,0.1,32,adam,-1,10000
zoo,cifar10,2,0,1.0,1.427445363998413,1.3055421113967896,0.9,0.1,64,adam,-1,10000
zoo,cifar10,2,0,1.0,2.2303167581558228,1.5643895864486694,0.9,0.1,128,adam,-1,10000
zoo,cifar10,2,0,1.0,3.696738052368164,1.9525282382965088,0.9,0.1,256,adam,-1,10000
