,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Gamma,Mu,GaussianSmoothing,Nexample,Epochs
0,inexact,mnist,2,2.0,0,0.64,0.6094554376602173,1.754806399345398,500,-1,2,0.0025,0.001,100,100
1,inexact,mnist,2,2.0,0,0.73,0.6120169043540955,1.7824581861495972,1000,-1,2,0.0025,0.001,100,100
2,inexact,mnist,2,2.0,0,0.77,0.7787211799621582,1.7848412990570068,2000,-1,2,0.0025,0.001,100,100
3,inexact,mnist,2,2.0,0,0.8,1.158266007900238,1.7873233556747437,4000,-1,2,0.0025,0.001,100,100
4,inexact,mnist,2,2.0,0,0.81,1.675758080482483,1.7719060182571411,8000,4000,2,0.0025,0.001,100,100
5,inexact,mnist,2,2.0,0,0.83,2.7657632493972777,1.7620757818222046,16000,4000,2,0.0025,0.001,100,100
