,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Gamma,Mu,GaussianSmoothing,Nexample,Epochs
0,inexact,cifar10,-1,0.01,0,0.55,3.909910035133362,0.010000052861869335,500,-1,2.0,0.0025,0.001,20,100
1,inexact,cifar10,-1,0.01,0,0.75,4.506412899494171,0.010000074282288551,1000,-1,2.0,0.0025,0.001,20,100
2,inexact,cifar10,-1,0.01,0,0.9,5.263743305206299,0.010000074282288551,2000,-1,2.0,0.0025,0.001,20,100
3,inexact,cifar10,-1,0.01,0,0.9,7.217123091220856,0.010000079870223999,4000,-1,2.0,0.0025,0.001,20,100
4,inexact,cifar10,-1,0.01,0,0.9,12.913831114768982,0.010000079870223999,8000,4000,2.0,0.0025,0.001,20,100
