,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Gamma,Mu,GaussianSmoothing,Nexample,Epochs
0,inexact,cifar10,2,1.0,1,0.39444444444444443,11.841929336388906,0.9871360063552856,500,-1,2.0,0.0025,0.001,20,100
1,inexact,cifar10,2,1.0,1,0.4777777777777778,6.6886076675521,0.9873587489128113,1000,-1,2.0,0.0025,0.001,20,100
2,inexact,cifar10,2,1.0,1,0.5388888888888889,11.583125415113237,0.9882286190986633,2000,-1,2.0,0.0025,0.001,20,100
3,inexact,cifar10,2,1.0,1,0.6166666666666667,20.10087636974123,0.9884790778160095,4000,-1,2.0,0.0025,0.001,20,100
4,inexact,cifar10,2,1.0,1,0.6333333333333333,32.958058786392215,0.987949788570404,8000,4000,2.0,0.0025,0.001,20,100
