,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
27,fw,cifar10,2,1.0,1,0.9777777777777777,1.5709599521425035,0.6266289949417114,500,-1,0.8,0.2,0.001,20,100
28,fw,cifar10,2,1.0,1,0.9944444444444445,2.3398781604237024,0.6071121692657471,1000,-1,0.8,0.2,0.001,20,100
29,fw,cifar10,2,1.0,1,1.0,3.7679482486512925,0.587720513343811,2000,-1,0.8,0.2,0.001,20,100
30,fw,cifar10,2,1.0,1,1.0,6.847600734233856,0.576544463634491,4000,-1,0.8,0.2,0.001,20,100
