,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
23,fw,cifar10,2,0.5,0,1.0,0.7275000524520874,0.27720677852630615,500,-1,0.8,0.2,0.001,100,100
24,fw,cifar10,2,0.5,0,1.0,1.2155876326560975,0.25625360012054443,1000,-1,0.8,0.2,0.001,100,100
25,fw,cifar10,2,0.5,0,1.0,2.1783687043190003,0.23747199773788452,2000,-1,0.8,0.2,0.001,100,100
26,fw,cifar10,2,0.5,0,1.0,4.028512063026429,0.22596678137779236,4000,-1,0.8,0.2,0.001,100,100
