,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
3,fw,mnist,-1,0.2,1,0.6277777777777778,2.4047068145540025,0.17604979872703552,500,-1,0.8,0.2,0.001,20,100
4,fw,mnist,-1,0.2,1,0.6833333333333333,4.514803776476119,0.1726611852645874,1000,-1,0.8,0.2,0.001,20,100
5,fw,mnist,-1,0.2,1,0.7055555555555556,9.193875874413385,0.17025873064994812,2000,-1,0.8,0.2,0.001,20,100
6,fw,mnist,-1,0.2,1,0.7111111111111111,16.605201636420357,0.1683872491121292,4000,-1,0.8,0.2,0.001,20,100
