,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
11,fw,mnist,2,4.0,1,0.9555555555555556,0.853070240550571,2.6564059257507324,500,-1,0.8,0.2,0.001,20,100
12,fw,mnist,2,4.0,1,0.9611111111111111,1.4300679802894591,2.632497787475586,1000,-1,0.8,0.2,0.001,20,100
13,fw,mnist,2,4.0,1,0.9611111111111111,2.9130942596329583,2.607192039489746,2000,-1,0.8,0.2,0.001,20,100
14,fw,mnist,2,4.0,1,0.9611111111111111,5.510557660791609,2.587409734725952,4000,-1,0.8,0.2,0.001,20,100
