,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
15,fw,cifar10,-1,0.01,0,0.97,3.925483067035675,0.007035734597593546,500,-1,0.8,0.2,0.001,100,100
16,fw,cifar10,-1,0.01,0,0.99,5.570139796733856,0.006512409541755915,1000,-1,0.8,0.2,0.001,100,100
17,fw,cifar10,-1,0.01,0,1.0,9.302093350887299,0.006023485213518143,2000,-1,0.8,0.2,0.001,100,100
18,fw,cifar10,-1,0.01,0,1.0,16.23441109895706,0.005684548988938332,4000,-1,0.8,0.2,0.001,100,100
