,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Beta,Gamma,Delta,Nexample,Epochs
19,fw,cifar10,-1,0.01,1,0.6777777777777778,15.914529897107018,0.009068800136446953,500,-1,0.8,0.2,0.001,20,100
20,fw,cifar10,-1,0.01,1,0.7222222222222222,27.27250801059935,0.008768395520746708,1000,-1,0.8,0.2,0.001,20,100
21,fw,cifar10,-1,0.01,1,0.7777777777777778,49.07044665945901,0.008486391045153141,2000,-1,0.8,0.2,0.001,20,100
22,fw,cifar10,-1,0.01,1,0.8611111111111112,83.03483718633652,0.008302686735987663,4000,-1,0.8,0.2,0.001,20,100
