,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.91,2.4458470940589905,500,0.2,0.001
1,0.91,2.4305562210083007,500,0.2,0.001
2,0.99,1.8029992866516114,1000,0.2,0.001
3,1.0,2.154792230129242,2000,0.2,0.001
4,1.0,3.3683138418197633,4000,0.2,0.001
5,1.0,5.743081712722779,8000,0.2,0.001
6,1.0,10.189761877059937,16000,0.2,0.001
