,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.36,12.603188986778258,500,0.2,0.001
1,0.4,22.02437749862671,1000,0.2,0.001
2,0.5,37.62170296192169,2000,0.2,0.001
3,0.56,63.89849472522736,4000,0.2,0.001
5,0.6,45.55170144557953,8000,0.2,0.001
6,0.66,75.44140192508698,16000,0.2,0.001
