,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.75,0.2728622078895569,500,0.2,0.001
1,0.87,0.2674370098114014,1000,0.2,0.001
2,0.95,0.2689137291908264,2000,0.2,0.001
3,0.97,0.3867249536514282,4000,0.2,0.001
4,0.98,0.5520383429527282,8000,0.2,0.001
5,0.98,0.9432269024848938,16000,0.2,0.001
