,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.6,8.106541793346405,500,0.2,0.001
1,0.76,11.18695925474167,1000,0.2,0.001
2,0.84,14.618949058055877,2000,0.2,0.001
3,0.89,20.59519640684128,4000,0.2,0.001
4,0.92,30.73846865415573,8000,0.2,0.001
5,0.96,43.213152141571044,16000,0.2,0.001
