,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.58,0.8307,500,0.2,0.001
1,0.61,1.2609720420837403,1000,0.2,0.001
2,0.69,1.715459156036377,2000,0.2,0.001
3,0.74,2.78975257396698,4000,0.2,0.001
4,0.77,3.631404504776001,8000,0.2,0.001
5,0.82,5.357758800983429,16000,0.2,0.001
