,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.94,0.20988526105880737,500,0.2,0.001
1,0.98,0.20936399698257446,1000,0.2,0.001
2,0.99,0.2610462188720703,2000,0.2,0.001
3,1.0,0.3909935140609741,4000,0.2,0.001
4,1.0,0.5133972239494323,8000,0.2,0.001
5,1.0,0.8266563844680787,16000,0.2,0.001
