,Succes Rate,Time per attack,# Gradient Estimation,Alpha,Gaussian Smoothing
0,0.44,0.4905862021446228,500,0.2,0.001
1,0.59,0.6252114415168762,1000,0.2,0.001
2,0.65,0.9523495936393738,2000,0.2,0.001
3,0.71,1.5740401434898377,4000,0.2,0.001
4,0.75,2.3432799220085143,8000,0.2,0.001
5,0.75,4.169512982368469,16000,0.2,0.001
