,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Mu,Gamma,GaussianSmoothing,Nexample,Epochs
0,inexact,cifar10,-1,0.01,1,0.10555555555555556,17.143582016891905,0.009888908825814724,500,-1,0.0025,2,0.001,20,100
1,inexact,cifar10,-1,0.01,1,0.11666666666666667,31.342273892296685,0.009888908825814724,1000,-1,0.0025,2,0.001,20,100
2,inexact,cifar10,-1,0.01,1,0.15555555555555556,20.53734615908729,0.009888908825814724,2000,-1,0.0025,2,0.001,20,100
3,inexact,cifar10,-1,0.01,1,0.2111111111111111,37.50559856494268,0.009888908825814724,4000,-1,0.0025,2,0.001,20,100
4,inexact,cifar10,-1,0.01,1,0.25555555555555554,60.65808463096619,0.009888908825814724,8000,4000,0.0025,2,0.001,20,100
