,Optim,Data,Norm,Epsilon,Target,SuccesRate,MeanTime,MeanEpsilon,NGradient,BatchSize,Mu,Gamma,GaussianSmoothing,Nexample,Epochs
0,inexact,cifar10,2,1.0,1,0.25,13.957611261473762,,500,-1,0.0025,2,0.001,20,100
1,inexact,cifar10,2,1.0,1,0.37222222222222223,22.16277340385649,,1000,-1,0.0025,2,0.001,20,100
2,inexact,cifar10,2,1.0,1,0.4888888888888889,37.36369295252694,,2000,-1,0.0025,2,0.001,20,100
3,inexact,cifar10,2,1.0,1,0.5666666666666667,64.57534704605739,,4000,-1,0.0025,2,0.001,20,100
4,inexact,cifar10,2,1.0,1,0.6277777777777778,35.321960510147946,,8000,4000,0.0025,2,0.001,20,100
